Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR26260941_2	(35, 525342.0)	(40, 4755.0)	(45, 6505.0)	(50, 9875.0)	(55, 13745.0)	(60, 24437.0)	(65, 40957.0)	(70, 67412.0)	(75, 104441.0)	(80, 161641.0)	(85, 232452.0)	(90, 322786.0)	(95, 417012.0)	(100, 514471.0)	(105, 599269.0)	(110, 670306.0)	(115, 718084.0)	(120, 739357.0)	(125, 753410.0)	(130, 755187.0)	(135, 758266.0)	(140, 737652.0)	(145, 5093639.0)	(150, 8684877.0)
SRR26260942_1	(35, 63843.0)	(40, 4935.0)	(45, 6750.0)	(50, 9575.0)	(55, 13927.0)	(60, 23489.0)	(65, 36744.0)	(70, 58997.0)	(75, 90374.0)	(80, 141498.0)	(85, 211181.0)	(90, 305029.0)	(95, 422094.0)	(100, 548011.0)	(105, 674228.0)	(110, 782266.0)	(115, 868225.0)	(120, 908906.0)	(125, 938156.0)	(130, 944167.0)	(135, 951930.0)	(140, 919253.0)	(145, 6081745.0)	(150, 10634954.0)
SRR26260942_2	(35, 63832.0)	(40, 4920.0)	(45, 6654.0)	(50, 9650.0)	(55, 13821.0)	(60, 23628.0)	(65, 37046.0)	(70, 58961.0)	(75, 89867.0)	(80, 140443.0)	(85, 210590.0)	(90, 304268.0)	(95, 420604.0)	(100, 546793.0)	(105, 672820.0)	(110, 780063.0)	(115, 865256.0)	(120, 905324.0)	(125, 933706.0)	(130, 936906.0)	(135, 939731.0)	(140, 907610.0)	(145, 6131179.0)	(150, 10636605.0)
SRR26260943_1	(35, 166530.0)	(40, 4331.0)	(45, 5675.0)	(50, 7332.0)	(55, 9916.0)	(60, 16764.0)	(65, 26423.0)	(70, 43400.0)	(75, 68309.0)	(80, 108258.0)	(85, 163995.0)	(90, 244834.0)	(95, 345125.0)	(100, 458454.0)	(105, 576561.0)	(110, 693263.0)	(115, 791288.0)	(120, 852243.0)	(125, 907390.0)	(130, 934038.0)	(135, 973861.0)	(140, 951352.0)	(145, 6369737.0)	(150, 10835598.0)
SRR26260943_2	(35, 165642.0)	(40, 4391.0)	(45, 5618.0)	(50, 7463.0)	(55, 9856.0)	(60, 17027.0)	(65, 26699.0)	(70, 43595.0)	(75, 67788.0)	(80, 107284.0)	(85, 163217.0)	(90, 244146.0)	(95, 342962.0)	(100, 456870.0)	(105, 573800.0)	(110, 689448.0)	(115, 786219.0)	(120, 843325.0)	(125, 897973.0)	(130, 920796.0)	(135, 954536.0)	(140, 935939.0)	(145, 6562147.0)	(150, 10727936.0)
SRR26260944_1	(35, 61252.0)	(40, 6391.0)	(45, 8592.0)	(50, 12873.0)	(55, 18591.0)	(60, 30464.0)	(65, 48378.0)	(70, 77782.0)	(75, 119956.0)	(80, 184903.0)	(85, 275209.0)	(90, 393492.0)	(95, 535831.0)	(100, 690915.0)	(105, 844566.0)	(110, 980734.0)	(115, 1092583.0)	(120, 1156198.0)	(125, 1212658.0)	(130, 1231342.0)	(135, 1261384.0)	(140, 1232314.0)	(145, 6467290.0)	(150, 11313587.0)
SRR26260944_2	(35, 61015.0)	(40, 6566.0)	(45, 8648.0)	(50, 13136.0)	(55, 18570.0)	(60, 30715.0)	(65, 48753.0)	(70, 78054.0)	(75, 119632.0)	(80, 184496.0)	(85, 275731.0)	(90, 394558.0)	(95, 536443.0)	(100, 692765.0)	(105, 846264.0)	(110, 983001.0)	(115, 1094700.0)	(120, 1157901.0)	(125, 1213854.0)	(130, 1228797.0)	(135, 1251365.0)	(140, 1221499.0)	(145, 6578824.0)	(150, 11211998.0)
SRR26260945_1	(35, 153616.0)	(40, 11459.0)	(45, 13819.0)	(50, 16489.0)	(55, 20901.0)	(60, 35276.0)	(65, 56065.0)	(70, 88968.0)	(75, 133307.0)	(80, 198132.0)	(85, 274912.0)	(90, 365301.0)	(95, 451692.0)	(100, 538322.0)	(105, 604591.0)	(110, 649922.0)	(115, 686343.0)	(120, 687339.0)	(125, 694643.0)	(130, 685189.0)	(135, 693455.0)	(140, 664716.0)	(145, 3699500.0)	(150, 6617978.0)
SRR26260945_2	(35, 149558.0)	(40, 10800.0)	(45, 13002.0)	(50, 16310.0)	(55, 20620.0)	(60, 35321.0)	(65, 56130.0)	(70, 88807.0)	(75, 132731.0)	(80, 197179.0)	(85, 274744.0)	(90, 365657.0)	(95, 451585.0)	(100, 539313.0)	(105, 605598.0)	(110, 651310.0)	(115, 687509.0)	(120, 688506.0)	(125, 695156.0)	(130, 683768.0)	(135, 687388.0)	(140, 659258.0)	(145, 3738794.0)	(150, 6592891.0)
SRR26260946_1	(35, 133889.0)	(40, 6453.0)	(45, 8336.0)	(50, 9531.0)	(55, 10466.0)	(60, 15017.0)	(65, 21030.0)	(70, 32720.0)	(75, 47970.0)	(80, 73854.0)	(85, 105636.0)	(90, 149687.0)	(95, 198156.0)	(100, 252618.0)	(105, 306072.0)	(110, 353437.0)	(115, 391270.0)	(120, 412320.0)	(125, 434227.0)	(130, 445603.0)	(135, 464765.0)	(140, 458096.0)	(145, 3537937.0)	(150, 6212662.0)
