Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR20079532_1	(1.0, 29.612518101963737)	(2.0, 2.4424517836236763)	(3.0, 0.9877017424113734)	(4.0, 0.6061351379731958)	(5.0, 0.4253728046380851)	(6.0, 0.29769284436437654)	(7.0, 0.23877415180142852)	(8.0, 0.19948975980833453)	(9.0, 0.16742924301834633)	('>10', 1.8619263553559848)	('>50', 0.3300299166354307)	('>100', 0.15342931353334843)	('>500', 0.02230069575915342)	('>1k', 0.0305706207391455)	('>5k', 0.0)	('>10k+', 62.62417752837437)
SRR20079532_2	(1.0, 39.69276995646134)	(2.0, 2.0942985517078063)	(3.0, 0.9563271288200256)	(4.0, 0.6365807736840778)	(5.0, 0.4532493203931628)	(6.0, 0.34374803330602466)	(7.0, 0.3026424315917519)	(8.0, 0.24037240346884317)	(9.0, 0.21460286208907542)	('>10', 2.465219748506955)	('>50', 0.9303842075587682)	('>100', 2.1886977547700157)	('>500', 0.6955511135882242)	('>1k', 1.9824505754876531)	('>5k', 1.5733567869866665)	('>10k+', 45.22974835157964)
SRR20079533_1	(1.0, 11.494475965220321)	(2.0, 0.5380348187969145)	(3.0, 0.17016705258929257)	(4.0, 0.09087612711223052)	(5.0, 0.045889435048394545)	(6.0, 0.030693261474991764)	(7.0, 0.018957602675730205)	(8.0, 0.013240230440192523)	(9.0, 0.01354114476837872)	('>10', 0.03219783311592273)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 87.55192652875763)
SRR20079533_2	(1.0, 25.756425570938045)	(2.0, 1.3716960775772917)	(3.0, 0.730719511464076)	(4.0, 0.5199478213880282)	(5.0, 0.3737713646447791)	(6.0, 0.3199247821604484)	(7.0, 0.2503285344222648)	(8.0, 0.21403684112574362)	(9.0, 0.16306156759051788)	('>10', 2.681773549595437)	('>50', 1.3093877209191886)	('>100', 3.9084039424557098)	('>500', 1.8430375028120685)	('>1k', 4.943274251547583)	('>5k', 3.630568188287625)	('>10k+', 51.983642773071196)
SRR20079534_1	(1.0, 2.237397072433635)	(2.0, 0.3006724931076181)	(3.0, 0.12352638111450415)	(4.0, 0.07460650536803265)	(5.0, 0.06296032346826844)	(6.0, 0.048417375512217704)	(7.0, 0.04179619595499135)	(8.0, 0.03641648756474494)	(9.0, 0.029795308007518586)	('>10', 0.32757103505885016)	('>50', 0.04005222455375762)	('>100', 0.013951771209869814)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 96.66283682664599)
SRR20079534_2	(1.0, 23.096872205399386)	(2.0, 1.4907601753493849)	(3.0, 0.7467523195098075)	(4.0, 0.5272894655921683)	(5.0, 0.38399776570204797)	(6.0, 0.342475666694956)	(7.0, 0.28829921279563336)	(8.0, 0.2407378489215295)	(9.0, 0.2093429724304526)	('>10', 3.3712627979207834)	('>50', 1.4052361516267537)	('>100', 3.4492430717998)	('>500', 2.156695376282342)	('>1k', 5.186076810682783)	('>5k', 1.9065267282531466)	('>10k+', 55.19843143103903)
SRR20079535_1	(1.0, 5.388266388118464)	(2.0, 0.30522022566357626)	(3.0, 0.12299384083155968)	(4.0, 0.0728103152512501)	(5.0, 0.05205224208920202)	(6.0, 0.04246756069776807)	(7.0, 0.03316659438766237)	(8.0, 0.027675106433141347)	(9.0, 0.02329785019539584)	('>10', 0.32834212973966415)	('>50', 0.10074005745296748)	('>100', 0.12144075371939725)	('>500', 0.012135378254222891)	('>1k', 0.027778593987568975)	('>5k', 0.037014933002847084)	('>10k+', 93.3045980301753)
SRR20079535_2	(1.0, 18.73310209711783)	(2.0, 1.2461850612209084)	(3.0, 0.6515257029652691)	(4.0, 0.4355164250465622)	(5.0, 0.33682068985636204)	(6.0, 0.26598161411405463)	(7.0, 0.2156112652205586)	(8.0, 0.19292278964846166)	(9.0, 0.16367494257256396)	('>10', 2.3319345957608806)	('>50', 0.991077104901619)	('>100', 2.638492543441249)	('>500', 1.0243351616310619)	('>1k', 2.4920653591020834)	('>5k', 1.923004226745056)	('>10k+', 66.35775042065546)
SRR20079536_1	(1.0, 38.914576220026575)	(2.0, 15.17769486234184)	(3.0, 7.4375719762573445)	(4.0, 4.214694853321634)	(5.0, 2.7009057134911734)	(6.0, 1.9518856242358342)	(7.0, 1.558824363850532)	(8.0, 1.281040591579747)	(9.0, 1.0998014096020736)	('>10', 12.599148512246336)	('>50', 4.121664966984864)	('>100', 5.1587900764113455)	('>500', 0.41747645144695816)	('>1k', 0.1490174435396322)	('>5k', 0.0)	('>10k+', 3.2169069346641916)
SRR20079536_2	(1.0, 47.38897315963616)	(2.0, 13.334448189830955)	(3.0, 6.306260826413709)	(4.0, 3.5884779095497263)	(5.0, 2.314127822710703)	(6.0, 1.7093004764707747)	(7.0, 1.302456245060943)	(8.0, 1.1222401194597127)	(9.0, 0.9006274732102354)	('>10', 11.154462453452938)	('>50', 3.3749994352610515)	('>100', 4.21047537630858)	('>500', 0.4186987364351486)	('>1k', 0.25389075625121127)	('>5k', 0.17886842000482123)	('>10k+', 2.441692599943232)
SRR20079537_1	(1.0, 56.89835704277777)	(2.0, 13.15253541300509)	(3.0, 5.220164432287673)	(4.0, 3.009631731684516)	(5.0, 1.95918388465115)	(6.0, 1.517818804168029)	(7.0, 1.279707285600908)	(8.0, 0.9683081906160995)	(9.0, 0.8856229503532095)	('>10', 9.760245003883837)	('>50', 1.8424992107499656)	('>100', 0.8163865817664724)	('>500', 0.027466947629031905)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.6620725208263063)
SRR20079537_2	(1.0, 63.46639505508247)	(2.0, 11.275434214845527)	(3.0, 4.361186603645047)	(4.0, 2.4960419845514963)	(5.0, 1.7181334275583837)	(6.0, 1.297367540878298)	(7.0, 1.1087143743086034)	(8.0, 0.8599224022245101)	(9.0, 0.7995139616800508)	('>10', 8.120466274511198)	('>50', 1.5029556584100074)	('>100', 0.7436876584572587)	('>500', 0.13339739471271148)	('>1k', 0.13508728570010697)	('>5k', 0.0)	('>10k+', 1.9816961634343635)
SRR20079538_1	(1.0, 22.85701397760463)	(2.0, 12.480673136840057)	(3.0, 7.578783259107275)	(4.0, 4.922890309264089)	(5.0, 3.6670523560924275)	(6.0, 2.75843395277413)	(7.0, 2.1560685285989316)	(8.0, 1.8161059019223154)	(9.0, 1.4965219845872157)	('>10', 15.820836610430348)	('>50', 5.028795179231597)	('>100', 10.385076009490552)	('>500', 2.7018683462684776)	('>1k', 1.903857154456525)	('>5k', 0.06016971678244729)	('>10k+', 4.365853576548943)
SRR20079538_2	(1.0, 30.041307231944803)	(2.0, 11.686427410861349)	(3.0, 7.1239140730782715)	(4.0, 4.523062801940838)	(5.0, 3.2871542979576285)	(6.0, 2.511539853001601)	(7.0, 1.914517812177059)	(8.0, 1.566187038667854)	(9.0, 1.3501215560667252)	('>10', 14.47101321839453)	('>50', 4.639408452831631)	('>100', 9.406838880411318)	('>500', 2.3841435142590095)	('>1k', 1.8607575131128677)	('>5k', 0.1351964760678748)	('>10k+', 3.0984098692265776)
SRR20079539_1	(1.0, 52.066292165128644)	(2.0, 11.874590539678168)	(3.0, 5.014187173723731)	(4.0, 2.995451853002669)	(5.0, 1.911215288955357)	(6.0, 1.5920082548723826)	(7.0, 1.1716846620121746)	(8.0, 0.9957223973556975)	(9.0, 0.8971049920512558)	('>10', 11.169365134104005)	('>50', 2.640983772805504)	('>100', 1.8397727401609523)	('>500', 0.046176994897834174)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 5.785444031251647)
SRR20079539_2	(1.0, 56.867003649611945)	(2.0, 10.907573026250187)	(3.0, 4.519903665067474)	(4.0, 2.6987454321101625)	(5.0, 1.832514633107668)	(6.0, 1.4306952737928438)	(7.0, 1.089063740377047)	(8.0, 0.994650514451448)	(9.0, 0.8652218411181719)	('>10', 10.340499108083105)	('>50', 2.3757426438534424)	('>100', 1.7983147740672345)	('>500', 0.24385734042914067)	('>1k', 0.446782224474071)	('>5k', 0.32985056558210585)	('>10k+', 3.2595815676239237)
SRR20079540_1	(1.0, 36.34766076604306)	(2.0, 15.757939306965598)	(3.0, 7.517029465041867)	(4.0, 4.228378519741617)	(5.0, 2.7715072107970995)	(6.0, 2.019608177920138)	(7.0, 1.6303693054743569)	(8.0, 1.2376753860290517)	(9.0, 1.087693270824262)	('>10', 13.34727987817534)	('>50', 4.36705486150782)	('>100', 5.565312210417981)	('>500', 0.4419062024910748)	('>1k', 0.16629732096627747)	('>5k', 0.0)	('>10k+', 3.514288117604508)
SRR20079540_2	(1.0, 43.41369051250088)	(2.0, 14.512999968642282)	(3.0, 6.78159745779128)	(4.0, 3.7710115214462028)	(5.0, 2.4261359204809887)	(6.0, 1.7648457376356546)	(7.0, 1.4096087887271727)	(8.0, 1.1262470358291143)	(9.0, 0.9185661755620187)	('>10', 12.020974796777589)	('>50', 3.8380066805611346)	('>100', 4.759810242177468)	('>500', 0.4577166180614879)	('>1k', 0.3794551927827213)	('>5k', 0.17594907165238743)	('>10k+', 2.2433842793716945)
SRR20079541_1	(1.0, 42.95645818516751)	(2.0, 14.797100320527543)	(3.0, 6.4601607693438226)	(4.0, 3.5455932919133466)	(5.0, 2.2466923170584865)	(6.0, 1.7089624900178804)	(7.0, 1.3442276884082183)	(8.0, 1.1744585546297763)	(9.0, 0.9714665418734417)	('>10', 12.477389374475809)	('>50', 3.639710311720205)	('>100', 3.8199576110412914)	('>500', 0.21639460269325278)	('>1k', 0.11453857538187304)	('>5k', 0.0)	('>10k+', 4.526889365747571)
SRR20079541_2	(1.0, 48.68692382815627)	(2.0, 13.832196947885286)	(3.0, 5.771974580345589)	(4.0, 3.1062529082634383)	(5.0, 2.0948015614438353)	(6.0, 1.5760278118679891)	(7.0, 1.2793443895565089)	(8.0, 0.9819094116671269)	(9.0, 0.9071948291338079)	('>10', 11.37647367307568)	('>50', 3.1768481955217283)	('>100', 3.3454855485308044)	('>500', 0.32569385146969765)	('>1k', 0.42025296051476474)	('>5k', 0.1782961122659828)	('>10k+', 2.940323390301643)
SRR20079542_1	(1.0, 20.50750052226129)	(2.0, 10.017726453557266)	(3.0, 6.036010488867008)	(4.0, 4.219465794330666)	(5.0, 3.169362729471039)	(6.0, 2.48907094820356)	(7.0, 2.0079565909268333)	(8.0, 1.7133345516883458)	(9.0, 1.4540486707767002)	('>10', 16.792759043734918)	('>50', 5.115037106594174)	('>100', 11.252115340600062)	('>500', 3.5884344365452723)	('>1k', 3.4150207000590203)	('>5k', 0.1214767415804753)	('>10k+', 8.100679880803511)
SRR20079542_2	(1.0, 28.67619533301963)	(2.0, 9.472291645331172)	(3.0, 5.628762587998247)	(4.0, 3.9293067398610417)	(5.0, 2.944469851310167)	(6.0, 2.3402986620020614)	(7.0, 1.834064812281914)	(8.0, 1.5695244262402173)	(9.0, 1.354953407607242)	('>10', 14.900944446846113)	('>50', 4.728267185180545)	('>100', 10.222747773022405)	('>500', 3.0710653780045565)	('>1k', 3.1729894327014057)	('>5k', 0.2590687393299841)	('>10k+', 5.8950495792628494)
