"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
1912.314,1677.749,2208.844,1667.529,1505.756,1755.573,2028.884,1458.737,1861.936,3333.108,2387.769,2614.542,2766.722,2545.208,2378.763,2206.592,2155.782,2031.632
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
2025.003,1969.558,1929.615,1336.565,1448.277,2074.291,2095.514,1485.093,1590.452,502.813,409.923,510.283,908.895,673.859,608.731,592.064,630.929,416.308
380.159,284.056,338.454,207.537,311.325,377.068,405.903,325.906,308.037,321.722,274.546,255.61,268.003,230.691,162.951,189.754,173.561,217.265
26,13.958,0,10.568,24,27.008,32,2.293,0,66,66.247,67.34,94.001,119.856,14.698,60.711,53.001,81.001
38.026,32.062,36.369,58.047,53.229,64.1,50.435,63.064,57.947,21.737,36.055,48.991,29.514,20.115,30.903,14.404,6.996,25.856
71.506,0,0,0,19.647,0,0,37.114,9.109,89.977,0,102.186,76.359,75.803,87.069,77.27,38.577,0
29.714,9.445,45.043,34.655,48.687,48.265,67.027,45.252,93.772,155.438,154.405,54.041,172.795,83.701,119.764,117.931,236.411,95.615
0,0,0,3.738,0,0,1.885,0,0,1.913,5.75,5.713,1.823,0,0,0,0,0
0,0,0,0,0,15.923,7.839,0,0,0,0,0,0,12.42,0,0,0,0
0,1.789,0,0,0,0,0,0,0,0,0,0,0,13.131,0,0,0,0
34.473,13.409,28.593,35.626,34.305,45.78,50.701,41.902,42.095,61.724,17.923,50.588,44.642,46.305,25.462,37.627,22.279,19.749
5.949,19.642,0,22.958,6.465,23.701,0,6.834,0,9.928,0,0,0,5.537,0,0,0,0
22,20,20.016,24.002,21,21,39,31.278,27,30,40,13,34.003,28,36,37,49.389,21.527
3.676,3.415,0,2.828,5.707,3.759,9.543,6.604,15.37,1.413,0,1.512,4.229,2.246,0,11.4,2.694,2.904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.665,98.137,48.963,76.804,75.309,87.444,77.913,69.721,3.132,361.759,334.697,251.401,381.264,228.807,389.268,291.556,535.957,276.375
0,0,0,0,0,0,20.14,0,0,0,0,0,0,0,23.558,0,16.418,20.714
0,13.057,0,0,0,0,0,0,0,0,40.195,0,18.196,23.382,0,0,18.669,0
228.905,189.311,134.2,173.701,187.902,160.821,228.04,179.685,198.806,141.534,135.253,112.419,104.795,102.019,109.9,124.428,68.607,106.871
6,2,1,4,1,4,1,1,2,667.411,562.672,189,702.189,259.226,799.314,500.005,1451.991,550.9
773.82,624.223,738.986,407.595,440.813,632.905,646.606,686.951,501.1,439.975,544.879,518.536,769.733,719.941,455.118,524.017,425.403,442.182
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,2
0,1,2,1,0,0,1,3,0,0,0,0,3,1,1,1.003,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.469,88.641,61.849,50.525,38.258,60.305,81.651,93.698,56.651,30.947,36.892,59.248,33.284,58.713,30.673,25.749,21.044,22.993
51.446,50.37,48.267,22.249,64.599,50.439,66.386,106.868,52.717,38.162,50.918,35.5,94.554,60.612,45.973,41,39.274,19.971
2.2,4.459,1.2,11.278,3.496,7.76,3.326,5.541,5.564,8.843,6.567,5.523,5.864,8.964,8.88,5.546,4.475,2.76
0,9.342,9.502,0,0,90.54,0,0,0,0,42.828,89.973,0,24.491,25.529,34.495,0,39.767
1,0,2,0,0,0,1,3,2,0,0,3,1,5,0,1,2,0
865.593,1030.097,639.725,687.942,762.811,701.851,617.394,621.596,482.613,259.928,302.727,315.933,810.6,198.97,423.27,377.123,428.257,330.854
129.125,103.72,70.741,103.698,93.885,160.678,207.455,152.316,138.23,1213.263,965.559,396.271,937.062,426.586,990.187,592.729,1383.247,646.545
0,0,0,0,0,0,0,0,0,0,0,0,1.624,0,0,0,0,0
0,0,0,2,1,2,0,0,0,0,7,0,11,0,0,7.001,1,3
405.099,519.073,563.147,380.136,445.551,574.627,817.693,409.863,444.267,1080.913,876.929,883.028,1212.739,1445.279,1102.653,944.171,684.254,1168.603
172.966,113.293,259.182,334.563,229.006,293.964,329.483,249.255,243.007,582.739,480.711,653.019,599.33,387.094,389.25,367.425,183.472,335.019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.413,12.803,12.629,4.381,0,6.328,19.173,8.408,7.67,18.938,34.397,2.536,55.592,14.914,12.472,9.539,26.381,20.858
0,0,0,0,0,3.712,0,4.047,2.665,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
53.161,40.938,27.785,26.218,37.053,32.678,30.442,16.982,24.323,9.6,11.51,18.77,31.808,18.322,22.288,19.203,15.736,14.784
6,8,0,8,8,8,9,5,7,10,15,16,5,9,11,9,2,7
0,0,0,0,0,0,1.239,0,0,0,0,0,0,2.167,0,0,0,0
11.551,5.771,2.149,19.879,16.39,12.695,8.194,13.663,5.081,13.007,30.629,15.482,20.326,15.908,9.809,12.457,5.898,7.133
952.875,909.357,759.493,578.804,754.627,1007.759,1154.517,999.472,879.612,1115.474,915.147,807.498,1102.29,883.498,1116.398,953.473,1019.264,909.969
14908.798,13970.16,16115.18,9499.254,11844.654,13319.731,13956.238,13207.09,11375.909,9440.108,11663.99,8602.626,10153.009,10943.907,8270.079,6993.877,5946.13,8773.032
144.827,95.831,62.859,106.225,82.264,128.365,148.954,133.11,110.173,351.6,348.05,414.451,427.251,661.206,369.819,428.358,176.93,492.164
1606.999,1408.817,1600.334,1474.39,1106.342,1505.696,1290.507,1254.537,1165.585,1575.367,1597.305,1735.965,1674.935,2305.4,1555.661,1736.146,987.825,1557.263
0,0,0,0,0,2.846,0,0,0,2.021,3.606,0,0,0,0,0,5.717,0
3.1,2.613,4.133,0,0,2.977,5.483,1.485,5.289,0,0,0,4.799,11.314,1.747,1.91,0,0
2.947,0,0,0,0,3.329,8.695,0,0,3.068,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.919,0,7.133,9.215,10.973,15.193,9.927,8.89,17.07,101.541,139.788,107.208,65.638,238.74,73.94,43.197,28.023,73.906
1.094,0,8.425,1.142,2.277,3.866,11.249,0,0,22.133,10.978,31.435,1.139,0,2.437,6.365,4.609,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
