"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
0,0,0,0,0,0,0,0,0
27.398,3.786,17.84,198.399,139.281,260.77,325.445,200.813,208.866
0,0,0,0,0,0,0,0,0
7,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,91.251,79.299,0,0,35.167,0,0,0
0,0,0,0,0,0,0,0,0
21.477,15.431,0,48.586,7.268,17.306,47.197,4.357,2.188
31.754,37.408,56.955,2.064,3.98,34.115,0,36.297,9.443
116,95,81,12,8,20,5,15,19
1851.628,1503.533,1451.228,401.155,216.75,300.598,325.583,343.398,340.619
1098.51,592.404,443.783,550.917,136.005,312.385,245.155,173.789,169.688
67.703,112.494,0,0,0,0,0,0,0
246,212,170,685,225,351.003,388,376,393
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,42,0
13,14,23,139,57,86,157,125,175
0,0,0,0,0,0,0,0,0
417.399,415.545,375.544,1236.72,618.701,939.713,996.429,924,949.407
0,0,0,0,0,0,0,0,0
45,45,49,162,161,238,246,179,246
0,0,0,0,0,0,0,0,0
75.352,149.16,10.169,62.162,30,37.522,38.34,48.358,15.857
0,0,0,0,0,0,0,0,0
19,40,17,171,109,140,223,195,185
24,25,18,53,14,40,74.002,97,58
29,13,17,0,0,0,0,7,0
19,14,10,1,1,5,3,2,1
49,75,89,92,96,106,129,95,102
2,7,0,28,8,22,12,20,18
6,2,0,19,1,16,4,0,3
0,0,0,0,0,0,0,0,0
66.663,240.343,192.799,507.608,160.656,714.193,673.134,618.579,366.84
64.073,26.285,88.367,52.735,103.585,107.723,170.459,4.171,15.081
134,81,65,545,168,284,261,222,258
393,376,270,128,84.999,108.001,146,151,168
1,5,0,5,1,4,4,4,0
108,56.089,96,0,0,1,0,0,0
226.459,217,163,197.999,53,104,121,97,104.001
40.212,110.732,18.524,18.523,6.698,17.703,54.243,54.413,66.306
113.893,96.169,28.209,139.345,0,78.662,105.81,8.326,39.238
2.991,5.859,18.15,38.964,27.413,17.496,26.399,25.621,53.127
2.201,0,3,33.303,81.923,282.875,5.249,0,3
5.475,0,0,2.384,2.213,11.888,15.361,0,5.416
0,0,0,8.161,0,0,0,8.178,8.176
347,259.725,246.917,164.112,78,118.001,104,116.001,114.001
0,0,0,0,2,21.557,0,0,0
0,0,0,0,0,0,0,0,0
0,4,10,0,0,0,0,0,0
1343,852,602,465,98,246,220,140,177
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
28,11.716,3,13.362,12.124,11,17.135,28.913,15.438
0,0,3,16,14,9,12,4,5
152.522,214.06,59.749,14.789,7.533,5.35,7.195,14.433,1.013
46,28,9,134,59,75,116,89,84
145,174.001,129.999,354.001,188,352,317.999,298,288
8,13,24,8,10,24,4,12,9
114,215,180,432.979,385.001,572.359,492,492,478
954.209,867.737,1004.652,250.116,167.454,168.576,221.406,255.706,241.949
306.064,516.09,504.445,99.758,81.231,116.868,83.001,128.51,130.643
315.901,673.449,0,233.5,0,309.629,195.226,0,0
456.398,662.066,543.878,259.626,185.639,306.926,225.366,208.057,186.753
0,0,0,0,0,1,0,0,0
11,22,14,8.36,9,16,16.001,26,22
0,0,0,2,1,4,5,1,9
0,0,0,0,0,0,0,0,0
122.59,45.78,39.513,375.999,360.003,452.194,539,499.025,542
154.061,176.243,94.058,9.72,2.853,24.524,16.444,10.776,16.286
446.197,428.588,334.935,935.664,454.533,647.154,566.526,496.156,439.283
13.271,27.364,29.565,223.96,200.142,296.163,253.89,304.808,237.964
0,0,0,0,0,0,0,0,0
3.351,1,0,28.999,25.762,0,2,34.421,15.624
46,34,29,97,0,25,31,23,36
8,12,12.769,107,54,55,88.592,99.822,84
0,0,4,7.008,0,17,3,0,15
68.369,61.02,43.732,91.114,184.484,189.134,241.288,222.661,276.614
3690,4002,3311,778,357,559,474,446,504
238.63,150.024,219,162,54,104.001,80,50.404,109
190,117,105,67,37,81,29,37,62
237,287.57,197.001,810.759,863.771,1159.108,1080.9,1142.326,1232.535
256.144,547.278,467.464,1778.032,2019.272,2901.102,2649.814,2659.376,2937.783
246,356,323,594,402,694,533,499,610
27.543,57.187,38.105,19.27,18.179,16.887,24.179,8.16,3.223
44.392,59.284,35.368,95.262,1,0,26.342,0,0
1.186,8.659,21.293,1.029,2.246,2.188,8.159,4.369,7.539
10.395,29.847,12.463,253.608,133.848,160.271,1112.759,839.152,987.243
0,0,0,5,0,0,10,0,2
3523,5051.477,4269,4161.806,3786.256,6458,4087.933,4316.687,4570.185
0,2,0,0,0,0,0,0,0
3,0,0,2.426,0,1,5.546,1,0
0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,0,0,1.181
0,0,0,0,0,0,0,0,0
97.901,129.529,343,1358.229,897.981,2281.829,1175.068,1372.812,1300.141
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
436,451,234.785,350,132,268,248,212,176
251,346,305,3043,1936,3192,3724.037,3538,3708
546,502,398,1548,913,1488,1541,1507,1602.001
0,0,16.266,0,0,0,8.866,0,0
0,54.475,0,0,0,0,0,7.967,0
141.075,181.538,143.501,162.128,98.365,147.482,156.594,150.162,140.833
998,964,776,3746.024,2139,3402.999,3367.002,3332.579,3627
1333,1702,1284.966,3884.357,2690,3456.968,3086.332,3609.125,3691
1032.115,1272,1071.853,362.523,107.262,257,427,268,248
455,483,494,26,18,32,26,28.639,36
519.668,497.374,409.89,2790.291,1796.085,2933.763,3258.406,3281.812,3349.658
0,0,0,0,0,0,0,0,0
28.576,20,2,0,0,0,0,0,0
0,1,2,1,2,2,0,0,0
0,0,0,0,0,0,40.658,0,0
46,33,15,0,0,0.999,0,0,0
1,7,0,20,48,0,13.085,0,0
249.617,317.305,194.607,1538.723,1222.624,1846.757,1998.885,1972.08,2068.383
0,242.322,0,223.532,262.208,0,366.719,0,390.048
0,0,0,0,0,0,0,0,0
45.181,87,78.165,304.645,192.084,305.999,343.999,312.703,341.072
13,14,20,13,3,7,4,6,4
2,3,0,6,3,10,4,2,3
0,0,0,0,0,0,0,0,0
0,19.525,0,51.095,2.225,14.04,45.171,2.386,21.736
116.219,82.822,76.384,552.854,241.035,550.56,772.829,482.67,485.295
