"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
0,0,0,0,0,0,2.002,7.94,0,69.925,115,67.71,54.629,121.732,170.972,93.141,119.091,212.609,131.304,154.766,199.017,65.631,134.888,160.856,89.315,83.6,128.46,40.873,0,53.989,49.553,46.155,321.273,211.892,297.168,286.998,245.532,352.186,242.806,174.528,242.039,311.573,221.678,237.953,31.126
0,0,0,0,0,0,0,0,0,33.824,2.403,68,46.947,0,167,163.826,183.324,177.02,200.968,161.022,131,33.482,201.168,205,118.264,43.564,149.824,0,58,24.497,0,30,265.609,210.023,432.46,297.227,268.528,374.056,348.46,325.815,285.828,377.694,327.685,274.483,40.52
14.938,43,37,16.214,1.206,37.268,107,33.988,109,17,28,27.65,28,12.765,61.999,70.008,90.999,68.693,107.999,57.028,77.999,40.586,104,107,50.999,15,56.378,3.216,16,8,15,4,130,91,152,149,140,179,153.001,143.189,160.721,110.947,106.914,136.999,14
8.729,0,0,75.715,0,18.88,28.221,24.107,51.43,19.148,0,20.051,16.59,15.699,293.401,147.844,341.518,216.57,211.16,314.383,506.943,227.29,447.998,509.298,236.819,0,271.78,0,0,0,2.749,15.797,502.329,264.042,563.208,399.072,340.98,416.004,862.904,1011.051,541.166,876.618,346.658,689.209,0
0,0,0,0,0,0,0,0,6.359,9,8,0,0,3.107,0,8.675,4,7,0,9,1,0,0,3.599,1,1.878,3,0,0,0,1,0,0,5,13,13,11,0,0,11,0,0,0,9,0
1.356,1,0,0,0,0,0,0,0,0,0,2.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,8,9,5,3.608,5,0,0,0,0,1,0,0,0,0,0,0,5,0,6,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1.683
3.806,8,10,27.243,37,51,33,43.772,49.107,0,1,0,2,0,15,8,7,3.18,10,7.938,8.367,4.326,9,8,2.684,0,9,0,0,0,1,0,15,10,13,20,12,18,5.556,15,7.98,12.413,8,14,0
35,33.283,32,281,193,301,329,264,295,7,4,17.51,11,12,178.456,97.336,160.44,210.759,205.001,213.029,181.954,116.496,200.671,243.731,100.504,5.474,113.69,4,1.474,13,9,7,360.995,245.527,487.28,422.199,378.002,410.021,464.19,449.602,323.071,448.526,338.395,389.432,5
20,2.115,18.861,239.04,116.882,318.457,316.918,295.644,252.388,1.167,17,8.138,16,0,57.399,34.553,64.759,80.848,53.557,97.582,94,35.773,75,54.469,36,17,46.8,0,1,6,0,8,79.54,94,181.308,78.637,103.241,30.343,128.362,84.839,115,117.433,94.639,129.077,0
19.179,0,8.79,28.223,36.04,59.447,59.486,46.442,46.942,5.663,3.528,47.887,82.272,6.919,439.279,396.369,478.909,555.264,567.045,689.379,537.251,454.979,630.726,613.24,358.971,14.009,483.717,3.421,9.231,13.67,8.839,3.484,881.623,693.504,1295.954,865.762,837.209,1095.906,1211.677,1275.187,962.182,1143.369,832.507,1073.758,5.36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.08,15.942,0,15.863,8.867,16.084,5.952,10.626,9.029,24.023,49.7,24.95,43.316,52.361,83.611,58.614,85.661,115.141,95.924,81.264,69.268,48.512,103.422,120.623,32.896,24.908,65.586,23.466,19.251,15.675,28.87,22.801,171.806,114.033,231.783,213.136,195.306,216.617,187.447,203.982,125.721,211.897,163.792,162.47,36.499
5,1.525,5,113.71,93.95,159.868,187.771,171.011,146.844,1,1,0,0,0,23,16.728,36.767,28.711,34.425,45.856,19.355,30.063,36.846,42.089,21.858,2,16.798,0,0,0,0,0,42.514,37.659,62.668,51.913,48.955,46.561,73.939,71.038,54.32,60.879,38.564,58.918,3
3.403,9.752,14.976,11.341,1.643,8.183,11.384,16.853,9.154,7.019,18.92,11.71,6.35,10.801,12.368,12.312,20.965,17.582,28.304,23.056,11.61,7.426,13.188,25.798,15.234,5.494,30.524,1.063,0,7.274,5,2.685,41.91,25.604,62.791,37.387,27.998,49.139,43.863,25.74,25.428,49.087,32.253,37.126,4.142
0,0,0,8.09,0,15.591,2.738,2.743,0,0,3.3,13.299,9.31,12.891,110.938,116.281,125.826,186.84,75.572,166.472,129.229,39.587,142.932,157.057,96.498,6.487,95.658,5,5.916,10,0,4.332,123.139,64.323,398.876,258.163,239.753,182.107,292.18,197.649,242.149,195.181,141.223,302.018,12
72,72,59.842,485,303,531,478,446,508,32,50,60,61,64,432,426.153,451,507.193,518,615.534,343,351,471.013,577.468,288,47,361,18,21,25,25,20,693.037,464,1026,718,601,903,776,854,635,908.076,638,773.632,16
36.576,54.676,13.124,119.106,53.227,150.197,108.624,190.121,158.269,22.061,50.979,40.137,44.509,51,130.524,130,113.479,139,124,162.934,110.999,92,122,76.477,94,43.928,120.001,30.001,27.441,15.083,20.351,20.396,210.905,156.649,357.618,224,211.247,293.397,204.089,280.598,242.948,285,207.076,225.168,23.605
1,0,0,1,5,3,0,2,2,8,7,6,3,5,2,1,0,0,0,1,1,0,0,0,1,1,0,2,0,2,2,1,1,1,1,0,0,0,1,2,0,0,1,0,0
0,33.386,42.042,0,111.646,68.26,47.113,58.006,66.833,12.574,7.491,11.837,11.205,2.355,16.962,118.592,47.734,94.945,69.049,28.639,32.167,41.275,1.474,47.461,63.492,9.474,49.937,0,4.681,9.217,0,0,64.837,95.385,194.642,107.282,113.893,152.479,130.227,140.044,171.096,133.514,84.013,9.651,4.093
5.761,14.625,0,4.308,0,1.042,1.365,4.31,0,48.018,70.233,100.717,47.303,79.05,167.897,135.49,180.556,217.305,163.054,208.404,188.469,119.422,198.614,120.874,123.824,10.812,137.55,27.801,12.316,38.375,66.885,0,273.409,214.861,383.932,334.64,255.583,285.503,243.455,297.972,190.718,292.586,272.494,314.978,0
122,129,108,479,244,334,246,220,241,49,56,81,67,79,351.939,228.674,316,414.664,336.982,436.084,216.987,184.241,222.545,277.63,189,55,190,35,22,27,24,30,601.78,393.617,728.84,586.04,512.1,664.949,495,491.866,391,537.498,406,506.131,23
