"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,2,0,3,2,1,2,0,0,0,1,0,5,2,4,1,1,0,1,0,3,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.172,79.456,43.096,79.51,76.997,65.994,66.524,55.492,101.331,51.395,60.405,36.985,74.433,67.917,69.427,109.438,117.629,71.182,22.519,79.236,29.654,58.119,94.563,49.599,42.905,57.993,92.735
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.279,0,5.168,0,0,0,0,4.745,0,0,0,0,0,0,0,2.883,0,0,5.871,0,2.135,0,3.794,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.649,98.472,93.162,99.219,111.122,119.437,97.591,116.098,113.828,70.231,52.481,47.787,103.671,84.224,75.912,78.397,88.401,99.292,66.666,67.914,64.332,86.608,92.237,74.964,60.854,57.659,102.297
1,0,1,2,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.145,6.844,7.762,5.626,6.229,9.933,9.009,8.247,2.202,5.245,3.142,5.583,3.066,5.857,3.449,7.347,5.264,5.124,3.559,3.365,4.807,1.195,7.584,6.77,2.203,7,7.191
243.707,256.827,178.2,174.18,202.157,192.999,153.939,141.949,391.601,148.449,187.874,73.333,187.74,126.377,165.238,138.324,205.134,179.525,45.916,104.266,108.873,148.925,107.106,126.932,102.133,188.742,237.094
3733.997,5004.575,3352.98,3578.307,4456.745,4030.831,3787.984,3720.662,6216.799,2744.408,2728.575,1825.292,3852.907,2765.442,3358.202,3606.352,3671.833,3498.271,1707.446,2574.048,1990.555,2766.302,2704.784,2809.338,2351.225,3263.43,4353.352
0,0,4.123,11.821,12.736,0,11.667,0,0,0,0,7.961,13.295,0,0,11.49,18.475,16.441,7.296,14.081,5.417,0,6.761,0,0,0,7.856
