"SRR20079510","SRR20079511","SRR20079512","SRR20079513","SRR20079514","SRR20079515","SRR20079516","SRR20079517","SRR20079518","SRR20079519","SRR20079520","SRR20079521","SRR20079522","SRR20079523","SRR20079524","SRR20079525","SRR20079526","SRR20079527","SRR20079528","SRR20079529","SRR20079530","SRR20079531","SRR20079532","SRR20079533","SRR20079534","SRR20079535","SRR20079536","SRR20079537","SRR20079538","SRR20079539","SRR20079540","SRR20079541","SRR20079542","SRR20079543"
0,0,0,0,83.804,14.024,65.464,0,11.731,99.739,164.595,12.357,4.254,5.675,5.258,16.802,187.833,419.485,23.924,68.904,211.227,12.953,9.463,1,0,0,30.721,16.09,176.331,7.07,48.905,27.876,293.079,26.274
0,1,1,3,122.142,15,99,9,16,58.52,155.686,6.753,0,0,0,13.83,321.2,650.514,22,71.008,147.334,18.135,2.727,0,0,0,42.999,5.688,189.59,27,36,22,240.154,30
0,0,0,0,289,35,94.594,0,15,142,284,21,0,0,1,35.052,647,1127,38,117,347,35,0,0,0,0,106,0,354,40,27.69,0,527.158,31
0,0,0,0,0,0,0,0,0,7.166,0,0,0,0,0,0,10.195,23.408,0,4.994,0,0,0,0,0,0,0,0,0,0,0,0,34.696,4.114
0,0,0,0,13.779,5.845,23.281,0,0,11.169,39.282,0,0,0,7.591,3.206,70.426,99.223,0,6.5,4.575,0,0,1.082,0,1.338,2.685,0,49.367,15.692,0,0,69.93,0
2.392,0,1,0,10.162,1.806,6.761,0,0,4.368,5.821,0,0,0,0,0,9.802,33.843,1.905,1.798,3.874,0,0,0,0,0,0,0,6.955,3.749,2.004,0,3.764,0
0,0,0,0,0,0,8.542,0,0,11.248,0,1.672,2.761,0,0,0,0,0,6.441,0,0,0,0,0,0,0,0,0,0,0,6.449,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.459,0,0,19.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.479,0,0
0,0,0,2.162,72.399,14.462,57.653,3.548,5.879,31.178,58.154,7.485,0,6.244,0,18.477,180.451,426.937,12.74,29.841,77.27,7.822,10.647,0,0,0,33.118,4.931,110.098,6.541,10.304,10.235,116.627,9.003
0,0,0,1.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.223,0
0,0,0,0,4,0,5,0,0,1,14,0,0,0,0,0,5,12,3,4,10,0,0,0,0,0,2,0,9,1,7,2,11,1
0,0,0,0,0,0,0,0,0,0,2.693,0,0,0,0,0,3.814,0,0,0,1.166,0,0,0,0,0,0,0,0,1.383,1.09,0,7.944,0
0,0,0,0,15.739,4,0,0,2,0,18.624,1.941,0,0,0,2.782,0,0,0,0,0,0,0,0,0,0,9.313,0,0,0.689,2.282,0,0,0
0,0,0,2,50.035,9.161,58.454,11.193,3.809,47.444,32.625,0,0,4.447,0,0,144.886,296.906,0,37.436,56.744,0,13.338,1,0,0,34.341,0,74.051,2,22.768,3.408,72.102,8.453
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12.261,2.083,0,0,0,0,0,0,0,2.123,0,0,0,0,0,0,0,0,9.052,0,0,0,0,0
0,4,0,3.382,55.54,20.328,38.024,0,5.41,44.514,80.697,29.585,1.943,0,0,8.765,161.455,286.048,2.181,57.228,151.735,18.225,5.628,0,0,0,14.65,2.084,74.829,8.36,36.085,25.154,161.79,6.387
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,605.911,88.084,345.823,28.129,48.871,345.947,726.083,59.694,11.859,31.094,0,70.766,1242.215,2250.268,41.341,322.659,850.011,43.542,50.88,0,1.457,0,117.871,25.278,715.072,54.317,86.961,49.468,1076.207,96.568
