Symbol,n_studies,pooled_log2FC,pooled_lfcSE,rem_pvalue,I2,rem_padj,multi_study,is_robust,Confidence_Level
AMBP,5,1.475092869,0.423953916,0.000502593,0,0.073110483,TRUE,TRUE,NS
KMO,8,0.854654725,0.246437995,0.000524286,0,0.074825845,TRUE,TRUE,NS
MTERF4,8,-0.140431736,0.040521265,0.000528989,0,0.074825845,TRUE,TRUE,NS
FGF5,7,0.345794802,0.09978231,0.000529262,26.4885303,0.074825845,TRUE,TRUE,NS
BBS1,8,-0.252232899,0.072788031,0.000529626,0,0.074825845,TRUE,TRUE,NS
GBP4,6,1.559450499,0.450304893,0.000533992,31.81021843,0.074903757,TRUE,TRUE,NS
RAMP2,8,0.464186674,0.134490186,0.000557575,0,0.077657153,TRUE,TRUE,NS
CD84,4,0.395311217,0.114779542,0.000572982,0,0.078920843,TRUE,TRUE,NS
CYSLTR2,4,-1.863271192,0.541203759,0.000575666,0,0.078920843,TRUE,TRUE,NS
AC009950.1,3,1.749451866,0.508354168,0.000578705,0,0.078920843,TRUE,TRUE,NS
SOX2,7,-0.422142111,0.122834076,0.000588879,34.48024406,0.079240733,TRUE,TRUE,NS
GABRA5,5,-0.480603156,0.139849482,0.00058912,0,0.079240733,TRUE,TRUE,NS
SPRR1A,3,-0.330255088,0.096526479,0.000623011,0,0.082867441,TRUE,TRUE,NS
SLC10A6,7,0.486997113,0.142366246,0.000624523,0,0.082867441,TRUE,TRUE,NS
CD53,1,0.553185877,0.162090147,0.000642924,NA,0.0847365,FALSE,FALSE,NS
CAMK1D,8,-0.302791259,0.089025293,0.00067095,24.50158553,0.08784083,TRUE,TRUE,NS
NLGN2,8,-0.156492516,0.046113838,0.000689771,0,0.089706792,TRUE,TRUE,NS
MYCL,8,-0.314305523,0.092718808,0.000699235,2.13725602,0.090339356,TRUE,TRUE,NS
IGHE,3,1.951175672,0.576396187,0.000711447,0,0.091143947,TRUE,TRUE,NS
XAF1,7,1.712989149,0.506223462,0.000714745,46.08922773,0.091143947,TRUE,TRUE,NS
EP300,8,0.329998308,0.097753827,0.000735988,0,0.093019706,TRUE,TRUE,NS
DAO,5,-2.661725299,0.788726525,0.000738928,0,0.093019706,TRUE,TRUE,NS
VEGFC,8,-0.141951235,0.042132246,0.000753914,0,0.093479405,TRUE,TRUE,NS
BMP1,8,-0.149155505,0.044271208,0.000754056,0,0.093479405,TRUE,TRUE,NS
ICAM2,8,0.592394425,0.175883461,0.00075686,0,0.093479405,TRUE,TRUE,NS
DGKZ,7,-0.182524257,0.05461443,0.000831615,0,0.102070379,TRUE,TRUE,NS
GIMAP5,3,1.072204514,0.321016919,0.000837709,0,0.102179646,TRUE,TRUE,NS
SULT1E1,5,-1.22795598,0.368045471,0.000848634,0,0.102873337,TRUE,TRUE,NS
EVI2A,7,0.279691624,0.083908965,0.000858302,0,0.103406938,TRUE,TRUE,NS
CTHRC1,7,0.230639051,0.069329751,0.00087882,0,0.104498684,TRUE,TRUE,NS
CERS3,7,0.506792962,0.152368662,0.000880712,0,0.104498684,TRUE,TRUE,NS
SP140,6,0.952267212,0.28637284,0.000883327,46.91245018,0.104498684,TRUE,TRUE,NS
FAM21C,7,0.269931667,0.081300647,0.000899639,2.483302445,0.105791023,TRUE,TRUE,NS
LY6D,5,-0.323017832,0.097417939,0.000913831,0,0.106820334,TRUE,TRUE,NS
POLR2D,8,-0.108816668,0.032974694,0.00096683,4.535049211,0.112011982,TRUE,TRUE,NS
ITFG2,8,-0.23155855,0.070247456,0.000979581,0,0.112011982,TRUE,TRUE,NS
GNAS,8,-0.076958518,0.023347951,0.000980171,0,0.112011982,TRUE,TRUE,NS
PIAS3,8,-0.156799361,0.047574028,0.00098106,0,0.112011982,TRUE,TRUE,NS
RHEB,8,0.126747018,0.038495843,0.000993059,30.15908699,0.112726527,TRUE,TRUE,NS
MAGEE1,8,-0.301625744,0.091723338,0.00100748,5.850091221,0.113524278,TRUE,TRUE,NS
GBP1,6,0.986908873,0.300221685,0.001011648,19.08893306,0.113524278,TRUE,TRUE,NS
SELL,7,0.892671439,0.271819224,0.001023221,0,0.1141705,TRUE,TRUE,NS
SLC9A9,7,0.525462888,0.160153296,0.001034399,1.219522918,0.114765712,TRUE,TRUE,NS
COX7A2,8,0.42633074,0.130165287,0.001055487,49.78983711,0.116447545,TRUE,TRUE,NS
TRH,6,1.375348619,0.420231239,0.001064736,0,0.116811668,TRUE,TRUE,NS
HNMT,8,-0.287950108,0.088037174,0.001072518,0,0.117011749,TRUE,TRUE,NS
HOXC12,4,-0.757502847,0.232035691,0.001096202,0,0.118679189,TRUE,TRUE,NS
C1QB,2,3.754488868,1.150397421,0.001099889,19.56949722,0.118679189,TRUE,FALSE,NS
DDX60,8,1.539419318,0.472544609,0.001123101,29.4122827,0.120521605,TRUE,TRUE,NS
CCND2,7,-0.143408055,0.044057262,0.001133773,0,0.121005584,TRUE,TRUE,NS
AKIRIN2,8,0.124393735,0.038292625,0.001160137,0,0.123150119,TRUE,TRUE,NS
MRVI1,8,0.478961209,0.147515296,0.001166866,0,0.123198486,TRUE,TRUE,NS
