"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
0.233328,0.035081,0,0,0,0,0.016741,0,0,1.428229,1.036733,0.461727,0.645144,0.669881,0,0,0.032051,0,0.122361,0.026986,0.090809,0.088176,0.278873,0.058059,0,1.172452,0,0.798556,1.52406,0.512192,0.609963,0.751086,0,0,0.046312,0,0,0.026693,0,0.028386,0,0,0.038869,0,1.052288
2.366515,3.196428,3.238577,3.324258,3.874737,4.417317,3.655113,3.654997,3.208617,12.573949,17.604619,20.544989,17.176159,14.773276,19.485842,30.82281,24.231999,26.607472,31.682129,26.989039,26.222324,26.826026,26.126701,23.772954,24.891186,12.412261,30.771238,3.390952,6.111301,12.500791,12.857046,12.360099,13.786664,17.313174,18.301362,19.107946,20.821846,19.849312,16.945125,16.587492,17.939078,18.479198,17.785687,18.68463,3.762202
3.735547,5.284636,0.396231,2.025809,1.380969,1.725604,1.618656,0.824254,1.302889,14.916885,5.1537,14.00832,13.597423,6.506579,37.017913,41.317384,35.343109,37.764806,46.358047,47.537238,18.951739,28.392173,36.133666,40.033696,37.106378,9.765763,37.311487,5.644207,4.442698,11.615704,0,8.215321,38.127268,34.825692,35.791705,36.127671,38.83835,42.242357,29.089676,24.673026,29.274771,29.440122,35.436413,33.969042,0
0.024115,0,0,0.010945,0,0,0.048077,0.037552,0,0,0.240814,0,0.205385,0,0,0.047221,0.038251,0,0.03491,0.058079,0,0.052821,0.159086,0,0.239858,0.381737,0.103757,0.423358,0,0,0,0.398316,0.018989,0.053094,0.068034,0.037968,0.020399,0,0.123765,0.064799,0.085922,0.104508,0.069924,0.080838,0.386352
6.376821,3.586387,3.973231,0.976194,0.252581,0.338625,0.383385,0.239239,0.326023,144.174743,172.152352,133.341846,146.409045,151.415257,14.690678,9.009954,13.869706,11.990893,15.745591,11.991222,8.915387,7.152416,7.918565,11.259457,12.999303,142.821362,14.869597,153.05886,136.138238,130.347071,170.611672,146.424155,12.582604,10.383507,9.879518,14.929075,12.784708,12.409445,10.910156,9.543283,8.872807,12.114989,11.500531,11.921443,167.644357
0.127604,0,2.953127,0,0,0,0,0,0,12.771178,23.778883,15.750321,13.742543,10.704322,0.212401,0,0,0,0.191956,0,0,0,0,0.181244,0,13.460242,0,23.799511,22.069248,22.070457,14.923312,27.764233,0,0.437882,0,0,0,0.087749,0,0,0.117647,0,0,0.111015,22.270517
6.779385,16.256291,9.968407,6.726836,9.413005,9.527518,10.684112,9.805476,10.390663,34.762038,12.292807,14.637123,11.466293,15.996596,11.313061,24.488939,24.595652,12.624301,18.725621,16.001769,17.320977,23.042158,25.495792,20.06065,21.319253,8.643329,23.358665,6.387528,4.162391,6.881727,7.45338,7.658209,12.468998,13.0808,10.328955,13.941626,15.000485,11.78229,15.41997,12.190581,14.333506,18.202797,15.800187,13.130193,3.7475
0,0,0,0,0,0,0,0,0,0,4.628139,1.240809,0.38741,0,0,0.05989,0,0,0,0,0,0,0,0.907588,0,0,0,0,0,0,0,0,0,0,0.151411,0.293681,0.230199,0.178813,0,0.321876,0.099397,0,0.15279,0,0
3.221093,2.291212,2.822558,0,0,0,0,0,0,22.72585,28.116139,17.582742,19.890505,16.893978,0,0,0,0.072834,0,0.169182,0.104384,0,0,0,0,26.102365,0.062529,26.418986,33.359374,21.745646,19.632162,18.524952,0.180091,0.032002,0.032801,0,0.07064,0.038591,0,0,0,0,0,0.024361,28.93925
0,0,0,0,0,0,0,0,0,0,0.306509,0,0.439346,0,0,0,0,0,0,0,0.068336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.892186,0,10.386932,9.290705,11.598077,16.506918,17.335208,16.782635,21.89679,23.597159,21.819593,18.542397,22.28169,24.939674,0,10.16586,26.247444,3.552141,10.247136,4.232587,12.544094,9.693841,20.952413,22.306568,20.266086,19.521344,16.209374,20.469602,19.84756,21.766034,19.534614,21.49471,23.186622,21.364596,12.035879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257802,0,0,0,0,0,0,0,0,0,0,0,0.051876,0,0,0.096536,0,0,0,0,0.055159,0
0.470615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073176,0,0,0,0,0,0
