"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
10.237692,8.634065,9.045374,10.743599,13.934895,9.314438,11.986994,13.023971,8.423367,11.274637,12.697388,12.543508,12.292467,11.370275,7.182197,4.162509,8.587146,13.627742
11.05724,13.091038,14.769327,14.250679,15.509973,13.800737,15.179573,14.20886,13.932287,14.217659,13.137175,10.655868,10.063311,10.153804,9.350698,8.790892,13.577459,11.348191
7.898653,13.503399,18.984085,8.817285,12.653175,8.131343,7.65478,7.804426,7.809095,15.587779,14.79597,12.280766,14.399935,18.31437,19.414914,16.511175,21.683278,14.236282
4.520505,4.410235,3.909261,7.571355,7.922103,7.759519,6.507945,5.6349,7.14204,4.446679,3.413923,4.396857,6.698999,3.354635,7.16614,5.972799,4.155663,3.48124
70.993851,62.917516,45.221327,101.96343,83.226763,103.472984,89.287068,98.077858,85.292531,72.345203,56.458781,47.281179,85.888629,62.934411,86.341378,77.40745,92.369149,75.639817
10.847091,16.564398,14.302823,12.382642,11.61144,10.191014,10.316801,10.361137,9.972175,10.893963,8.739585,10.448595,22.990782,18.687556,15.610251,13.802257,23.316435,12.713136
2.883141,2.45083,2.057102,6.301009,4.95044,0.753542,1.518523,3.266895,4.468977,7.533811,3.353087,3.728873,7.380097,7.137592,3.623731,2.670054,6.53722,7.880188
3.095913,6.778237,5.753835,3.575712,5.613636,5.616089,7.378524,6.271819,4.37355,7.256638,6.614482,3.754752,6.702692,5.977895,5.221115,3.029023,5.876281,7.149575
3.347612,4.591771,4.072311,0,4.159675,3.104055,4.62616,3.749027,4.290123,13.172209,8.866864,2.826445,16.546245,4.021976,17.262076,7.32185,29.954152,12.18078
2.526013,2.182137,1.011223,3.33675,1.920766,2.371786,2.944443,4.254395,2.704427,5.399318,6.502031,3.754287,5.704524,6.572124,5.697361,5.281001,3.860467,4.161321
16.91132,20.287552,14.119811,27.903249,22.195472,16.818561,17.953597,22.020798,20.367144,21.590527,18.642876,20.935355,21.947049,14.232264,14.892489,26.87351,26.962033,19.716229
30.247554,22.528579,23.251102,25.096573,27.882443,26.806614,25.718383,19.820928,26.711935,42.239399,37.039304,36.555587,27.189024,31.431155,37.181141,29.925253,44.570769,27.98484
0,0,0,0,0,0,0,0,0,0.192576,0.157966,0,0.508612,0,0.092199,0.793366,0.564649,0
