"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
44.983586,37.676911,42.6215,56.907043,55.01484,52.327579,47.529572,57.619435,50.994838,40.004656,38.931306,41.266903,48.890429,38.841711,49.108807,53.22611,58.117735,53.011817,52.420419,48.680443,40.433106,45.855521,51.36447,55.545628,50.543355,52.389278,46.137875
12.7191,13.761282,19.689638,15.150198,7.981013,16.995537,14.077808,15.793635,9.6529,13.726647,12.325582,11.280378,13.405325,12.071378,6.93946,18.836648,10.283674,15.041225,16.582827,18.312683,13.731709,12.734915,26.874098,8.627135,18.856623,16.960083,12.994431
24.23445,25.615033,23.914948,28.234251,35.24153,34.614551,30.62104,28.992499,31.425202,18.781328,23.667457,27.005855,29.77579,33.36845,18.215241,43.730737,25.459608,23.52381,35.67185,32.632092,30.460051,20.681976,9.957103,13.87028,50.616378,43.029156,29.511669
47.084454,37.883163,42.638059,47.782187,45.94143,47.063686,52.024833,49.449143,45.698828,49.127415,50.706467,46.233912,47.074267,40.722794,42.879337,45.973786,40.745586,52.194056,53.718101,50.853613,38.395394,41.433692,41.343853,44.209865,45.792222,49.42959,55.670153
4.359189,2.981067,4.506993,3.612722,2.844856,1.435672,5.503676,2.620256,2.130738,1.08746,1.913372,0.618366,3.325774,1.688077,1.00365,3.085647,1.805526,4.176304,3.125321,1.902851,2.289752,1.656536,0,0.782205,5.615704,4.6544,5.412112
57.545378,47.633847,55.872543,54.092976,57.843537,47.321708,57.564031,60.371585,54.280554,58.619929,55.67229,55.664493,55.41317,54.43967,45.759926,57.905709,59.032009,48.019934,56.168473,55.97363,64.911498,43.668635,40.091867,47.820705,61.464118,55.259493,64.533557
0.046877,0.38462,0.765488,0.50053,0.232429,0.06655,0,0.230098,0.154807,0.550446,0.427617,0,0.042385,0.06408,0,0,0.070289,0.036361,0.276925,0.020769,0,0.111848,0.580135,0,0,0.064321,0.033447
0,0,0,0.298039,0,0.539327,0.936678,0.186743,0.231924,0,0.329402,0.682247,0,1.151711,0.734051,0.326615,0,0,0,0.369349,0,0.917409,0.387728,0.387365,0.257958,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.184236,0,0.268223,0.057099,0,0,0.329306,0.163746,0.07246,0.14923,0,0,0,0,0.11641,0,0,0.23903,0,0,0,0.262653,0,0,0,0
0.041792,0.200737,0.202875,0,0.033373,0,0.141891,0.070964,0.140988,0.126468,0.16102,0.107331,0.127477,0.036923,0.078495,0.108255,0.055752,0.158473,0,0.238014,0.1593,0,0.189311,0,0,0,0
0.893772,2.061333,0,0,0.379766,1.196777,0.670967,0,0.298945,0.980044,0.653054,1.409977,0.485778,0.915122,0.471008,1.018861,0.403961,0.415387,0.487738,0,0.612334,0.262786,0.546216,0.910911,0,0.672988,0.521995
8.48642,9.050339,8.978619,10.71796,11.590782,9.416668,15.364307,15.907072,16.581878,11.641864,11.090636,6.844118,11.803472,10.182543,6.577028,17.672008,15.240617,17.001015,10.779271,10.249874,9.424936,11.065729,11.169133,11.156288,14.268397,15.806472,11.676261
30.731621,33.818685,35.883595,31.43855,29.991721,28.942881,32.796395,30.236433,28.684888,37.659433,40.368345,44.918304,32.11216,24.343656,32.115929,36.913856,35.2225,26.51333,35.780041,25.304202,36.588137,35.033592,27.916024,29.479924,29.887306,36.196392,31.102725
14.286166,11.033442,13.719296,17.091685,19.330977,18.087143,16.521341,17.3569,15.537631,15.203856,13.404844,14.184996,18.760369,17.467052,20.635833,18.4338,18.528013,15.396495,14.2719,18.590225,17.631193,21.350059,20.024211,16.430898,17.112163,15.034856,14.97452
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548235,0,0,0.121594
2.585562,1.965785,2.629281,2.558494,2.506329,2.596543,2.637075,2.165682,1.149845,2.871506,3.134421,2.844553,2.204416,2.678045,2.299399,1.863685,2.382662,1.566984,2.577804,2.569625,2.317195,1.188691,2.453233,2.439208,1.86883,1.539757,2.818522
5.397391,4.082204,0,1.682799,3.735055,3.559961,2.622713,3.212142,2.692542,2.143856,3.709549,2.972678,2.850602,2.923631,2.199492,3.8806,2.479478,1.390205,1.188437,2.700314,1.630536,4.240554,2.715659,0,5.844617,1.254715,3.05583
