"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
0.121392,0.818017,0,0.178621,0.523482,0.162372,0.334536,0.230478,0.065788
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.108654,0,0,0
0,2.732347,0,0.860079,0,3.019669,0,0,0
0,0,1.094474,2.123401,1.224887,1.566177,1.575035,1.371924,1.387136
424.466574,540.473433,591.884908,639.15165,879.769539,811.637787,697.606192,717.823409,680.545355
6.287766,8.701071,5.923773,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.1454,0,0,0.039443,0,2.189912,2.004243,1.929975,0.313506
1.567841,4.004995,0,3.741671,3.854158,4.085086,7.572417,4.763054,4.795529
0,0,0,0,0,0,0,0,0
0.296441,0.638487,6.727673,4.201344,2.125029,1.982661,0.757649,1.263245,4.696956
0,0,0,0,0,0,0.688171,0,0
23.614284,32.972714,34.104552,58.543046,55.22755,48.734653,48.977352,40.529273,41.159378
1.506431,0.896413,0.416036,1.000949,1.129411,0.370983,1.029785,0.711693,1.061038
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.534101,0.442911,0,9.028065,0.538402,6.384645,12.159217,7.419762,9.553247
0,0.189841,0,0.090931,0.043325,0,0,0.083019,0.029804
414.736805,223.702223,227.087074,0.769085,0,0.829229,0,0.365113,0
0,0.594861,0.599066,0,0,0,0,0,0
2.841121,0.868877,0.729624,0.119916,0.115461,0.080368,0.13173,0.128493,0.127708
9.662022,6.231435,7.806031,7.688046,4.310587,5.050309,4.881929,4.416263,4.351288
77.017412,113.81335,112.524349,0.594378,0.399816,1.05985,0.273608,0.420097,0.168812
426.412911,415.447972,446.13497,99.59935,111.580514,117.781335,94.237789,96.373701,100.774163
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1.539319,0,0,0,0,0,0
0.401361,1.055276,0.620228,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.57592,1.47305,0.729463,0.549009,0.336552,0.448082,0.321454,0.34597,0.438359
0.672042,1.189065,0.829785,0.272455,0.628865,0.622481,0.930292,2.416527,0.822991
0,0,0,0,0,0,0,0,0
3.749177,3.722774,3.037105,8.665321,4.567362,9.492357,8.166801,7.583476,7.10479
0.250498,0.116266,0.092315,0.468553,0,0.649614,0,0.010981,0.011059
0,0,0,0,0,0,0,0,0
0,0.17808,0,0.621173,0.116624,0.135761,0.343792,0,0.21561
4.985768,7.757744,6.383696,11.493896,12.674298,16.794696,18.088709,11.070325,9.347704
1.188673,2.543644,1.892172,7.367124,6.731154,6.35899,9.26661,7.692802,6.064972
0.242075,0,0.53176,0,0,0,0.096464,0,0
34.798481,34.372364,35.641815,85.116565,90.273478,80.964088,79.732079,80.490737,78.722656
4.44155,6.922617,10.972606,14.757153,15.224066,14.845534,15.646369,13.58558,13.869937
66.882081,71.630865,76.116195,31.917871,26.632329,29.249052,23.472377,20.883105,21.479004
18.339973,10.184178,18.54297,11.486914,10.853254,12.765309,10.296464,10.849687,11.545215
0,0,0,3.313511,0.704428,3.401597,2.254956,5.43084,5.384694
0,0,0,0.042207,0.146249,0,0,0.181718,0.094889
0,0,0,0,0,0,0,0,0
29.156351,19.348047,25.377517,115.273256,104.44111,106.620673,103.236806,117.42046,102.934735
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.162318,0.419808,0.341848,0.891901,0.775983,1.67507,0.896021,0.321984,0.38436
1.218615,0,0,0,0,0,0,0,0
0,0,0,0,0.2849,0,0.084526,0,0.040935
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.054096,0,0
4.053092,5.369404,7.960968,0.448423,1.263196,0.600591,0.223215,0.691526,0.534537
7.555367,5.635939,7.391752,0.330779,0.386042,0.644914,0.264268,0.438214,0.281818
0.276083,0,0,0.088435,0,0,0.311036,0.106821,0
2.941069,2.159112,2.786435,0.077446,0.050081,0.091179,0,0,0.022088
