SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC092566.1,AC092566.1,processed_pseudogene,0.984596845,1.144059795,2.788756568,0.410240108,0.681629822,NA
AC092620.2,AC092620.2,3prime_overlapping_ncRNA,273.1958062,-0.17045668,0.204084634,-0.83522545,0.403590783,0.97364222
AC092835.2,AC092835.2,protein_coding,313.2471954,0.004981228,0.158580228,0.031411404,0.974941446,0.999779309
AC093323.3,AC093323.3,lincRNA,230.4301567,0.020873805,0.197363484,0.105763257,0.91577019,0.999486641
AC104304.4,AC104304.4,protein_coding,0,NA,NA,NA,NA,NA
AC104389.28,AC104389.28,processed_transcript,0.150464858,-0.942409258,4.080472857,-0.230955894,0.817349067,NA
AC104532.2,AC104532.2,protein_coding,0,NA,NA,NA,NA,NA
AC104534.3,AC104534.3,protein_coding,1915.746063,-0.041568738,0.094798373,-0.438496321,0.661026536,0.997447198
AC108938.5,AC108938.5,protein_coding,7.973681941,0.043229064,0.967919315,0.044661846,0.964376846,0.999779309
AC109829.1,AC109829.1,protein_coding,15.64956134,0.528085241,0.726105005,0.727284949,0.467051417,0.987025219
AC114783.1,AC114783.1,protein_coding,0,NA,NA,NA,NA,NA
AC127070.1,AC127070.1,protein_coding,2.652779378,-2.170284202,2.699546914,-0.803943873,0.42142939,NA
AC131097.4,AC131097.4,protein_coding,0,NA,NA,NA,NA,NA
AC133680.1,AC133680.1,lincRNA,0,NA,NA,NA,NA,NA
AC136352.1,AC136352.1,protein_coding,0,NA,NA,NA,NA,NA
AC136612.1,AC136612.1,protein_coding,0,NA,NA,NA,NA,NA
AC136616.1,AC136616.1,protein_coding,0.359561223,1.964116561,4.030312406,0.487336058,0.626020199,NA
AC138517.6,AC138517.6,protein_coding,0,NA,NA,NA,NA,NA
AC138645.1,AC138645.1,protein_coding,3.282286587,-0.92783178,2.039161006,-0.455006631,0.649104468,NA
AC138645.2,AC138645.2,protein_coding,0,NA,NA,NA,NA,NA
AC138647.1,AC138647.1,protein_coding,0,NA,NA,NA,NA,NA
AC138969.4,AC138969.4,protein_coding,123.5753869,-0.018120595,0.328176635,-0.055215982,0.955966396,0.999779309
AC141272.1,AC141272.1,protein_coding,0,NA,NA,NA,NA,NA
AC142525.1,AC142525.1,protein_coding,0,NA,NA,NA,NA,NA
AC145212.1,AC145212.1,protein_coding,21.24357135,-0.059919241,0.680808516,-0.088011886,0.929867229,0.999779309
AC145212.2,AC145212.2,protein_coding,4.723658507,0.212436547,1.195728582,0.177662849,0.858987763,0.998359305
AC171558.1,AC171558.1,protein_coding,0,NA,NA,NA,NA,NA
AC213203.1,AC213203.1,protein_coding,0,NA,NA,NA,NA,NA
AC233755.1,AC233755.1,protein_coding,0,NA,NA,NA,NA,NA
AC233755.2,AC233755.2,protein_coding,0,NA,NA,NA,NA,NA
AC236040.1,AC236040.1,protein_coding,0,NA,NA,NA,NA,NA
AC240274.1,AC240274.1,protein_coding,708.8942831,-0.029998748,0.123374948,-0.243151046,0.807888389,0.997447198
AC243734.1,AC243734.1,protein_coding,0,NA,NA,NA,NA,NA
AC243756.1,AC243756.1,protein_coding,0,NA,NA,NA,NA,NA
