Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,antibody
SRR26260922,RNA-Seq,262,4283440851,PRJNA1023258,SAMN37650491,1883118859,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970547,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817926,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:47:00Z,1,GSM7817926,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260923,RNA-Seq,245,2945656194,PRJNA1023258,SAMN37650492,1302903202,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21970546,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817925,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:48:00Z,1,GSM7817925,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260924,RNA-Seq,259,4526031838,PRJNA1023258,SAMN37650493,1996430007,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970545,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817924,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:48:00Z,1,GSM7817924,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260925,RNA-Seq,263,4223053086,PRJNA1023258,SAMN37650494,1864882185,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970544,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817923,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:49:00Z,1,GSM7817923,A549-ACE2,SRP464218,,
SRR26260927,RNA-Seq,260,4342958917,PRJNA1023258,SAMN37650496,1904699550,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970542,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817921,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:47:00Z,1,GSM7817921,A549-ACE2,SRP464218,,
SRR26260934,RNA-Seq,272,6224972198,PRJNA1023261,SAMN37650498,2204130992,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970574,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817946,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:50:00Z,1,GSM7817946,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260935,RNA-Seq,271,6957003596,PRJNA1023261,SAMN37650499,2461545408,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970573,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817945,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:51:00Z,1,GSM7817945,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260936,RNA-Seq,279,6919711662,PRJNA1023261,SAMN37650500,2444075836,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX21970572,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817944,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:54:00Z,1,GSM7817944,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260937,RNA-Seq,278,7156019893,PRJNA1023261,SAMN37650501,2523901838,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970571,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817943,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:53:00Z,1,GSM7817943,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260939,RNA-Seq,272,6172879740,PRJNA1023261,SAMN37650503,2175160187,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970569,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817941,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:52:00Z,1,GSM7817941,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
